"entity","type","direction","source","notes","date"
"14.200.169.58","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"201.172.236.120","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"95.135.251.199","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"14.168.230.225","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"59.16.62.26","","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host;Scanning Host","2017-03-22"
"41.250.136.77","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"186.45.171.160","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-20"
"46.16.224.250","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"112.164.198.105","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"83.219.139.147","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"123.31.41.189","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"79.108.75.128","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"123.21.130.112","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"109.75.43.119","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"195.78.44.11","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"14.186.190.175","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"116.109.159.143","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"14.162.211.94","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"201.173.73.201","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"180.93.126.165","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"61.148.203.22","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"58.218.199.116","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"201.158.89.33","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"117.6.131.221","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"190.29.110.163","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"210.178.93.216","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"179.180.31.46","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"182.186.206.119","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"120.210.131.81","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"60.176.82.140","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"182.186.187.13","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"148.240.14.15","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"200.116.120.40","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"59.102.151.113","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
